"PERIODO","ANO","MES","SEMANA","DIA","HOJE","PONTO","ACESSO","FERIAS","AFASTADO","ADMITIDO","DEMITIDO","PONTO_BATIDAS","ACESSO_BATIDAS","REF_EXE_BATIDAS","REF_FUNC_BATIDAS","EXTRA","EXTERNO","ATRASO","CUSTO","TOTAL_FUNCIONARIOS","TOTAL_TRABALHANDO","MIN_DEMITIDO","MIN_EXTERNO","MIN_ATRASO","TOTAL_ATIVOS"
"18/02/2015","2015","02/2015", "4  Semana" ,"18/02","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3635","0","0","0","0","3502"
"17/12/2015","2015","12/2015", "5  Semana" ,"17/12","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3590","0","0","0","0","3502"
"17/12/2014","2014","12/2014", "4  Semana" ,"17/12","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3742","0","0","0","0","3502"
"17/11/2014","2014","11/2014", "2  Semana" ,"17/11","N","1","0","0","3","0","0","2","0","0","0","0","0","0","0","3613","0","0","0","0","3502"
"17/10/2014","2014","10/2014", "6  Semana" ,"17/10","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3689","0","0","0","0","3502"
"17/09/2014","2014","09/2014", "4  Semana" ,"17/09","N","1","0","0","2","0","0","2","0","0","0","0","0","0","0","3625","0","0","0","0","3502"
"17/07/2014","2014","07/2014", "5  Semana" ,"17/07","N","1","0","0","7","0","0","2","0","0","0","0","0","0","0","3613","0","0","0","0","3502"
"17/06/2015","2015","06/2015", "4  Semana" ,"17/06","N","1142","0","0","9","0","0","2438","1926","631","756","284","176","0","3189","3606","0","0","-176","0","3502"
"17/05/2015","2015","05/2015", "1  Semana" ,"17/05","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3643","0","0","0","0","3502"
"17/04/2015","2015","04/2015", "6  Semana" ,"17/04","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3621","0","0","0","0","3502"
"17/03/2015","2015","03/2015", "3  Semana" ,"17/03","N","2","0","0","1","0","0","4","0","0","0","0","0","0","1","3577","0","0","0","0","3502"
"17/01/2016","2016","01/2016", "1  Semana" ,"17/01","N","170","0","0","1","0","0","490","294","0","0","0","56","0","0","3500","0","0","-56","0","3502"
"17/01/2015","2015","01/2015", "7  Semana" ,"17/01","N","1","0","0","0","0","0","2","0","0","0","0","0","0","1","3682","0","0","0","0","3502"
"16/12/2015","2015","12/2015", "4  Semana" ,"16/12","N","1","0","0","24","0","0","2","0","0","0","0","0","0","0","3592","0","0","0","0","3502"
"16/10/2014","2014","10/2014", "5  Semana" ,"16/10","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3689","0","0","0","0","3502"
"16/09/2014","2014","09/2014", "3  Semana" ,"16/09","N","1","0","0","2","0","0","2","0","0","0","0","0","0","0","3622","0","0","0","0","3502"
"16/08/2015","2015","08/2015", "1  Semana" ,"16/08","N","148","0","0","2","0","0","454","121","0","3","2","7","0","12","3727","0","0","-7","0","3502"
"16/08/2014","2014","08/2014", "7  Semana" ,"16/08","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3647","0","0","0","0","3502"
"16/07/2014","2014","07/2014", "4  Semana" ,"16/07","N","1","0","0","2","0","0","2","0","0","0","0","0","0","0","3611","0","0","0","0","3502"
"16/05/2015","2015","05/2015", "7  Semana" ,"16/05","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3677","0","0","0","0","3502"
"16/04/2015","2015","04/2015", "5  Semana" ,"16/04","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3620","0","0","0","0","3502"
"16/03/2015","2015","03/2015", "2  Semana" ,"16/03","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3577","0","0","0","0","3502"
"16/01/2016","2016","01/2016", "7  Semana" ,"16/01","N","1625","0","0","7","0","0","2797","1442","0","22","240","320","14","2096","3576","0","0","-320","-14","3502"
"16/01/2015","2015","01/2015", "6  Semana" ,"16/01","N","1","0","0","2","0","0","2","0","0","0","0","0","0","1","3683","0","0","0","0","3502"
"15/12/2015","2015","12/2015", "3  Semana" ,"15/12","N","1","0","0","16","0","0","2","0","0","0","0","0","7","0","3604","0","0","0","-7","3502"
"15/12/2014","2014","12/2014", "2  Semana" ,"15/12","N","2","0","0","0","0","0","4","0","0","0","8","0","0","67","3742","0","0","0","0","3502"
"15/11/2015","2015","11/2015", "1  Semana" ,"15/11","N","181","0","0","0","0","0","531","280","0","0","0","22","0","0","3610","0","0","-22","0","3502"
